Country,Year,CleanFuelAccess,ElectricityAccess,CO2Emissions,ElecPowerConsumption,CoalElectricity,HydroElectricity,GasElectricity,NuclearElectricity,OilElectricity,RenewableElectricity,RenewableElectricity_kWh,EnergyIntensity,EnergyUse,FossilFuelConsumption,GDPGrowth,GDPPerCapita,PrivateEnergyInvest,LandArea,PopDensity,TotalPopulation,PPP_EnergyInvest,RenewableEnergyConsumption,TotalGHGEmissions,Latitude,Longitude
Brazil,2002,90.2,96.653,1.760651,1797.268,2.662647,82.76425,3.588962,4.00265,3.887801,2.973926,10300000000.0,3.89,1084.676,57.154,3.053462,2824.715,3910000000.0,8358140.0,21.59292,180000000.0,3680000000.0,42.85,826208.7,-14.235,-51.9253
Armenia,2008,94.2,99.21111,1.905698,1626.991,0.0,31.14385,26.16984,42.65165,0.0,0.034662,2000000.0,4.13,1006.921,73.28613,6.9,3908.949,70000000.0,28470.0,104.7917,2983421.0,63940000.0,6.4,8886.003,40.0691,45.03819
Turkmenistan,2010,99.9,100.0,11.233,2300.317,0.0,0.0,100.0,0.0,0.0,0.0,0.0,21.67,4306.238,29.91761,9.188055,4286.881,28376000.0,469930.0,11.21012,5267970.0,31576000.0,0.07,151459.0,38.96972,59.55628
Kuwait,2000,100.0,100.0,25.75749,14867.43,0.0,0.0,32.93939,0.0,67.06061,0.0,0.0,6.91,9673.325,100.0,4.694582,19493.91,167000000.0,17820.0,108.5803,1934901.0,103000000.0,0.0,70128.99,29.31166,47.48177
Mongolia,2013,40.4,81.2,6.461561,1918.35,92.94821,0.0,0.0,0.0,5.358566,1.693227,85000000.0,7.2,1848.512,92.69368,11.64892,4422.301,79540000.0,1557253.0,1.827033,2845153.0,78140000.0,3.01,42281.39,46.8625,103.8467
Gabon,2014,85.1,87.07519,3.031261,1118.537,0.0,39.73974,47.0971,0.0,12.56256,0.600601,12000000.0,7.43,2580.438,22.78652,4.314964,9255.368,88280000.0,257670.0,7.633232,1966855.0,86880000.0,81.29,15495.28,-0.80369,11.60944
Azerbaijan,2003,79.9,98.84779,3.469645,2235.46,0.0,11.59917,52.706,0.0,35.69482,0.0,0.0,11.94,1476.591,96.94924,10.2083,883.6926,380000000.0,82652.0,99.62372,8234100.0,240000000.0,2.94,40371.75,40.14311,47.57693
Suriname,2016,92.2,95.82075,5.0819,3266.711,0.0,61.23987,0.0,0.0,38.76013,0.0,0.0,4.14,1282.833,78.43056,-4.91579,5705.399,191000000.0,156000.0,3.727263,581453.0,178000000.0,11.1,4648.008,3.919305,-56.0278
Lesotho,2014,35.5,27.8,1.121112,3585.718,54.2282,30.24503,12.53517,0.0,1.708141,1.283464,75200000.0,9.15,1535.759,78.1318,1.710544,1165.051,136000000.0,30360.0,69.01324,2095242.0,112000000.0,42.39,4047.126,-29.61,28.23361
Angola,2007,43.3,37.5,0.811414,133.2397,0.0,77.6189,0.0,0.0,22.3811,0.0,0.0,2.51,471.5967,34.74248,14.01,3121.349,62784000.0,1246700.0,16.77203,20909684.0,62784000.0,58.49,71292.13,-11.2027,17.87389
